target,cpus,payload,conns,rps,transfer_per_s,lat_mean_us,p50_us,p90_us,p99_us,p999_us,max_us,sock_errors,non2xx,proxy_cpu_pct,proxy_rss_mb,wedged
sflfix,2,/4k.bin,256,2673.47,11.11MB,108704,73832,208594,857039,1612067,1997719,75,12,148,31.1,0
sflfix,2,/64k.bin,64,851.64,53.44MB,84748,67272,178023,333864,495891,699120,1,1,156,40.4,0
sflfix,2,/64k.bin,256,421.21,26.43MB,345339,238098,827410,1563631,1896483,1967810,113,0,142,82.2,0
sflfix,2,/_churn,64,4542.09,820.60KB,12349,12092,14690,19484,59273,65095,12,4,142,33.6,0
ngx,1,/,16,25941.25,4.70MB,618,599,778,1136,2582,3983,0,0,100,37.4,0
ngx,1,/,16,24793.23,4.49MB,665,631,787,1054,11123,20917,0,0,99,37.3,0
ngx,1,/,64,26850.89,4.87MB,2370,2286,2900,4173,4770,13549,0,0,100,37.6,0
ngx,1,/,64,26653.04,4.83MB,2400,2326,2858,3926,10702,21787,0,0,99,37.7,0
ngx,1,/,256,28357.43,5.14MB,8997,8797,10654,14574,16197,31235,0,0,100,38.8,0
ngx,1,/,256,27334.46,4.95MB,9437,9223,10997,16138,52276,208632,0,0,100,39.6,0
ngx,1,/,1024,17250.28,3.13MB,58872,55576,74882,97116,128033,665597,0,0,99,46.6,0
ngx,1,/,1024,17162.91,3.11MB,59027,55684,77948,104640,117734,120479,0,0,99,45.9,0
ngx,1,/4k.bin,64,20497.08,85.23MB,3147,3120,3497,4227,17254,33114,0,0,99,37.7,0
ngx,1,/4k.bin,256,19518.76,81.16MB,13081,12938,14670,16907,18707,24566,0,0,100,38.8,0
ngx,1,/64k.bin,64,8137.14,510.64MB,7984,7745,8549,13611,52091,95959,0,0,100,37.7,0
ngx,1,/64k.bin,256,7743.03,485.92MB,32959,32306,35962,42276,70648,108577,0,0,100,39.2,0
ngx,1,/_churn,64,15303.36,2.70MB,4182,4131,4609,6958,47227,57047,0,0,98,37.8,0
ngx,2,/,16,58467.75,10.59MB,310,230,398,2756,4569,13685,0,0,186,67.3,0
ngx,2,/,16,59755.15,10.83MB,298,177,489,2619,5625,15711,0,0,173,67.4,0
ngx,2,/,64,94219.33,17.07MB,723,616,876,3185,18773,32410,0,0,194,67.9,0
ngx,2,/,64,87882.84,15.92MB,769,691,1030,4008,5628,9772,0,0,192,67.9,0
ngx,2,/,256,72675.56,13.17MB,3464,3364,4326,6842,12052,19868,0,0,197,69.7,0
ngx,2,/,256,71458.42,12.95MB,3523,3459,4296,6687,17651,28437,0,0,196,69.3,0
ngx,2,/,1024,60581.93,10.98MB,16725,16225,20046,26137,30272,54345,0,0,198,76.1,0
ngx,2,/,1024,59654.93,10.81MB,17476,16127,22869,32299,162213,227432,0,0,197,76.3,0
ngx,2,/4k.bin,64,52613.41,218.77MB,1247,1188,1463,2308,15067,21931,0,0,171,67.8,0
ngx,2,/4k.bin,256,45674.69,189.92MB,5708,5143,7825,16264,21330,62567,0,0,171,69.8,0
ngx,2,/64k.bin,64,17670.38,1.08GB,5225,3213,5448,43515,50303,78920,0,0,179,67.9,0
ngx,2,/64k.bin,256,21204.15,1.30GB,12090,11576,14513,18814,55480,76577,0,0,199,69.2,0
ngx,2,/_churn,64,16658.24,2.94MB,2065,1012,5341,8509,22645,34585,0,0,82,67.8,0
